id,ad_type,km,car_year,location,zipcode,date_posted,date_scrape,title,price,model,days_tracked,price_change,price_diff,price_diff_pct,time_on_market,first_seen,age,price_per_km,price_per_year,posted_today
2190421599,offer,99300,2012,25479 Ellerau,25479,23/08/2022,05/12/2025,Dacia Sandero 1.2 16V 75 Ambiance,1999,Sandero,11,No Change,0,0.0,0,05/08/2025,13,0.02,142.79,No
2191127065,offer,114968,2015,29410 Salzwedel,29410,24/08/2022,05/12/2025,Dacia Logan MCV II Kombi Ambiance 1.HAND,4499,Logan,12,No Change,0,0.0,0,05/08/2025,10,0.04,409.0,No
2238028584,offer,49500,2019,67590 Monsheim,67590,10/10/2022,06/12/2025,"Dacia Sandero SCe 75 Comfort, Klima, AHK, Alu",7499,Sandero,41,No Change,0,0.0,0,06/01/2025,6,0.15,1071.29,No
2289624219,offer,59211,2018,06366 Köthen (Anhalt),06366,30/11/2022,06/12/2025,Dacia Sandero II Stepway Celebration !Top Zustand!,12200,Sandero,40,No Change,0,0.0,0,06/01/2025,7,0.21,1525.0,No
2304933297,offer,,,15366 Hoppegarten,15366,26/03/2024,05/12/2025,Auto Pkw Motorrad Ankauf auch gerne Umgebung,999,Other,22,No Change,0,0.0,0,05/08/2025,,,,No
2332945859,offer,179636,2016,01159 Löbtau-​Süd,01159,18/01/2023,06/12/2025,"Dacia Logan MCV 1.2 54KW EURO6,1.HAND,KLIMA,TÜV11/2026",4500,Logan,40,No Change,0,0.0,0,06/01/2025,9,0.03,450.0,No
2340522330,offer,17500,2022,67269 Grünstadt,67269,26/01/2023,06/12/2025,Dacia Sandero SCe Comfort Klima Tempo LED,11850,Sandero,41,No Change,0,0.0,0,06/01/2025,3,0.68,2962.5,No
2364740557,offer,14200,2022,92552 Teunz,92552,21/02/2023,05/12/2025,Dacia Spring electric comfort plus Orange,13500,Spring,32,No Change,0,0.0,0,06/01/2025,3,0.95,3375.0,No
2366780207,offer,24000,2017,04610 Meuselwitz,04610,23/02/2023,06/12/2025,Dacia Sandero TCe 90 Stepway Celebration + ORIG 24 TKM,10999,Sandero,40,No Change,0,0.0,0,06/01/2025,8,0.46,1222.11,No
2370390879,offer,12322,2022,13581 Spandau,13581,27/02/2023,05/11/2025,Dacia Spring Electric Comfort 33kW Klima Tempomat,6880,Spring,23,No Change,0,0.0,0,06/01/2025,3,0.56,1720.0,No
2387750470,offer,69000,2014,30455 Ahlem-​Badenstedt-​Davenstedt,30455,17/03/2023,05/12/2025,Dacia Logan MCV II*ZahnriemenNeu*ServiceNeu*TüvNeu*,4500,Logan,38,No Change,0,0.0,0,06/01/2025,11,0.07,375.0,No
2395725331,offer,165000,2013,94447 Plattling,94447,25/03/2023,06/12/2025,Dacia SANDERO II 1.2 ESSENTIEL LIMOUSINE-1.HAND-EURO5,2500,Sandero,31,No Change,0,0.0,0,06/01/2025,12,0.02,192.31,No
2418824748,offer,107000,2016,31535 Neustadt am Rübenberge,31535,18/04/2023,05/12/2025,Dacia Lodgy TCe 115 Stepway.1Hand.Tüv Neu.107TKm.Klima,8000,Lodgy,7,No Change,0,0.0,0,05/08/2025,9,0.07,800.0,No
2425768740,offer,233641,2013,29410 Salzwedel,29410,26/04/2023,06/12/2025,Dacia Sandero II TCe 90 Laureate 1.HD KLIMA SCHECKHEFT,4499,Sandero,40,No Change,0,0.0,0,06/01/2025,12,0.02,346.08,No
2437897172,offer,83277,2017,93055 Regensburg,93055,09/05/2023,06/12/2025,Dacia Sandero II 1.5 Stepway Prestige,6000,Sandero,40,No Change,0,0.0,0,06/01/2025,8,0.07,666.67,No
2443277483,offer,160000,2012,94447 Plattling,94447,16/05/2023,06/12/2025,Dacia LOGAN 1.6 MCV KOMBI-2.HAND-TOP ZUSTAND-TÜV 2025,4990,Logan,31,No Change,0,0.0,0,06/01/2025,13,0.03,356.43,No
2445191049,offer,20000,2015,94447 Plattling,94447,18/05/2023,06/12/2025,Dacia DOKKER EXPRESS KASTENWAGEN TRANSPORTER 1.HAND,13990,Dokker,31,No Change,0,0.0,0,06/01/2025,10,0.7,1271.82,No
2449397392,offer,184000,2014,72622 Nürtingen,72622,26/04/2025,05/11/2025,Dacia Logan MCV II 1.216V,3990,Logan,13,No Change,0,0.0,0,05/01/2025,11,0.02,332.5,No
2456392995,wanted,200000,2000,64579 Gernsheim,64579,21/03/2025,05/12/2025,Suche Alle Dacia Modelle.Höchstpreise Deutschlandweit!!,9900,Other,23,No Change,0,0.0,0,05/08/2025,25,0.05,380.77,No
2457174930,offer,75000,2015,94447 Plattling,94447,01/06/2023,06/12/2025,Dacia DOKKER EXPRESS KASTENWAGEN TRANSPORTER 2.HAND,12750,Dokker,31,No Change,0,0.0,0,06/01/2025,10,0.17,1159.09,No
2457391333,offer,140910,2008,23623 Ahrensbök,23623,01/06/2023,06/12/2025,Dacia Logan MCV Kombi Basis,3500,Logan,40,No Change,0,0.0,0,06/01/2025,17,0.02,194.44,No
2466482897,offer,24000,2022,90469 Aussenstadt-​Sued,90469,12/06/2023,05/12/2025,Sandero Stepway (LPG) Comfort TCe 100 ECo-G,14000,Sandero,24,No Change,0,0.0,0,05/08/2025,3,0.58,3500.0,No
2469780625,offer,98530,2020,64711 Erbach,64711,16/06/2023,05/08/2025,Dacia Sandero Blue dCi 95 Stepway Prestige,12490,Sandero,1,No Change,0,0.0,,05/08/2025,5,0.13,2081.67,No
2478121248,offer,108308,2017,18233 Alt Bukow,18233,26/06/2023,06/12/2025,Dacia Duster I Black Shadow 4x2,3300,Duster,37,No Change,0,0.0,0,06/01/2025,8,0.03,366.67,No
2491951713,offer,1100,2022,04229 Kleinzschocher,04229,13/07/2023,06/12/2025,Dacia Spring Comfort Plus Look-Paket Orange,14999,Spring,40,No Change,0,0.0,0,06/01/2025,3,13.64,3749.75,No
2499986399,offer,113000,2012,73101 Aichelberg,73101,22/07/2023,06/12/2025,Dacia Sandero 1.2 16V 75 mit noch fast zwei jahren Tüv,4500,Sandero,41,No Change,0,0.0,0,06/01/2025,13,0.04,321.43,No
2503266751,offer,150850,2013,71540 Murrhardt,71540,26/07/2023,06/12/2025,Dacia Sandero II Laureate,2500,Sandero,41,No Change,0,0.0,0,06/01/2025,12,0.02,192.31,No
2511462120,offer,38322,2021,39112 Magdeburg,39112,04/08/2023,06/12/2025,"Dacia Lodgy Stepway, 7-Sitze,Navi,Klima,PDC,Tempomat",16950,Lodgy,40,Decreased,500,2.95,0,06/01/2025,4,0.44,3390.0,No
2516755309,offer,77420,2018,15234 Frankfurt (Oder),15234,09/08/2023,05/12/2025,Dacia Lodgy Stepway.Klima.Navi.Tempomat.SHZ.,12950,Lodgy,26,No Change,0,0.0,0,06/01/2025,7,0.17,1618.75,No
2526799866,offer,21000,2020,39116 Magdeburg,39116,22/08/2023,06/12/2025,Dacia Duster TCe 100 ECO-G 2WD Deal Alu  Freisprech,13998,Duster,40,No Change,0,0.0,0,06/01/2025,5,0.67,2333.0,No
2535595586,offer,183520,2007,01237 Reick,01237,02/09/2023,06/12/2025,Dacia Logan MCV 1.6 16V Lauréate 77kW *Klima*,1699,Logan,40,No Change,0,0.0,0,06/01/2025,18,0.01,89.42,No
2539736500,offer,11500,2022,93351 Painten,93351,07/09/2023,05/11/2025,Dacia Spring Essential,12800,Spring,4,No Change,0,0.0,92,05/08/2025,3,1.11,3200.0,No
2542593603,offer,169989,2012,26446 Friedeburg,26446,10/09/2023,06/12/2025,Dacia SANDERO STEPWAY 1.6LPG*KLIMA*EFH*FZV*LM*GJR*HU25,3999,Sandero,40,No Change,0,0.0,0,06/01/2025,13,0.02,285.64,No
2558978457,offer,4761,2022,15936 Dahme/​Mark,15936,30/09/2023,06/12/2025,Dacia Spring Electric Comfort Plus,5899,Spring,40,No Change,0,0.0,0,06/01/2025,3,1.24,1474.75,No
2562886146,offer,83515,2015,86167 Augsburg,86167,04/10/2023,05/12/2025,Dacia Logan MCV TCe 90,3990,Logan,14,No Change,0,0.0,0,05/08/2025,10,0.05,362.73,No
2565056571,offer,76000,2019,25693 St. Michaelisdonn,25693,20/04/2025,06/12/2025,Dacia Dokker Express Comfort.1HAND.NAVI.KLIMA.AHK,11990,Dokker,47,No Change,0,0.0,0,06/01/2025,6,0.16,1712.86,No
2605346543,offer,111077,2018,13127 Französisch Buchholz,13127,17/11/2023,06/12/2025,Dacia Sandero II Comfort,7470,Sandero,40,No Change,0,0.0,0,06/01/2025,7,0.07,933.75,No
