Feature,Importance
registration_year,0.26700735
vehicle_age,0.1509019
extra_17,0.04241192
fahrzeugzustand_Unbeschädigtes Fahrzeug,0.040308893
leistung_numeric,0.03646385
kraftstoffart_Elektro,0.028522871
fahrzeugtyp_SUV/Geländewagen,0.022179775
modell_Duster,0.020091405
kilometerstand_numeric,0.019895617
desc_39,0.019771025
has_alloy_wheels,0.016092628
modell_Jogger,0.013323113
desc_19,0.011423951
modell_Sandero,0.010006994
modell_Spring,0.009198408
extra_18,0.00902544
kraftstoffart_Diesel,0.008347211
desc_11,0.007982476
aussenfarbe_Unknown,0.0071876226
desc_40,0.0070223357
has_climate,0.006486657
fahrzeugtyp_Van/Bus,0.0062501505
extra_3,0.0062105404
getriebe_Manuell,0.006168684
extra_6,0.006006145
has_navigation,0.005307604
extra_4,0.0051485933
desc_32,0.004725977
desc_6,0.004710385
desc_31,0.004434396
extra_0,0.004429885
is_accident_free,0.004426547
desc_29,0.004282023
kraftstoffart_Autogas (LPG),0.0042578024
extra_10,0.004194105
desc_13,0.0040548556
kraftstoffart_Benzin,0.0040330733
modell_Lodgy,0.003907369
has_bluetooth,0.0038825078
desc_48,0.0037764916
material_innenausstattung_Vollleder,0.0034263227
desc_2,0.0032842823
extra_14,0.003168083
extra_7,0.0030682562
desc_30,0.0030578307
desc_35,0.0030557478
extra_11,0.0030479054
desc_20,0.0030306836
desc_34,0.00296566
extra_8,0.0029478725
extra_13,0.0029359234
modell_Logan Pick-Up,0.0028338865
desc_43,0.0028027382
kraftstoffart_Hybrid,0.0027472123
desc_17,0.0027318012
material_innenausstattung_Andere Materialien Innenausstattung,0.0027139178
extra_5,0.0026769459
desc_4,0.0026043872
fahrzeugtyp_Limousine,0.002554538
desc_18,0.0024979124
is_service_history,0.0024779497
desc_25,0.002410143
modell_Logan,0.0023735429
desc_1,0.002359438
desc_45,0.0023244717
material_innenausstattung_Unknown,0.0023175485
desc_24,0.0023079612
desc_3,0.0023016252
desc_28,0.0022951704
extra_1,0.002246576
extra_15,0.0022039127
desc_21,0.002200228
desc_16,0.0021926095
extra_2,0.002166623
desc_14,0.0021103187
desc_9,0.0020941636
desc_7,0.0020865316
desc_36,0.00205573
desc_38,0.0020046833
desc_49,0.0019859474
extra_9,0.0019817392
desc_42,0.0019379224
desc_27,0.0019245794
desc_12,0.0018992518
desc_26,0.0017681364
desc_15,0.0017284271
desc_10,0.0017138887
aussenfarbe_Grün,0.0016998817
aussenfarbe_Braun,0.0016811066
desc_33,0.0016750788
desc_44,0.0016714749
desc_41,0.0016702538
desc_37,0.0016227011
extra_12,0.001567827
desc_47,0.0015672316
desc_0,0.0015462836
desc_22,0.0015376789
desc_8,0.0015192837
desc_23,0.0015153518
extra_19,0.0014717778
desc_46,0.0014684949
material_innenausstattung_Stoff,0.0014412747
extra_20,0.0014229985
aussenfarbe_Weiß,0.0014112948
aussenfarbe_Silber,0.0013587666
fahrzeugtyp_Kleinwagen,0.001238318
desc_5,0.001223346
aussenfarbe_Orange,0.0010548307
material_innenausstattung_Teilleder,0.0010397705
aussenfarbe_Blau,0.0010059146
aussenfarbe_Beige,0.0009552857
aussenfarbe_Grau,0.00095147017
fahrzeugtyp_Kombi,0.00083184626
aussenfarbe_Gold,0.0008240262
aussenfarbe_Schwarz,0.0007961969
aussenfarbe_Rot,0.0007949112
extra_16,0.00071046944
modell_Weitere Dacia,0.0004994912
fahrzeugzustand_Unknown,0.00048798422
fahrzeugtyp_Coupé,0.00025771564
aussenfarbe_Gelb,0.0
kraftstoffart_Erdgas (CNG),0.0
material_innenausstattung_Velours,0.0
modell_Pick Up,0.0
modell_Kangoo,0.0
marke_Renault,0.0
has_leather,0.0
aussenfarbe_Violet,0.0
