Date,Category,Count
01/01/2023,Dokker,332
01/01/2023,Duster,627
01/01/2023,Jogger,444
01/01/2023,Lodgy,272
01/01/2023,Logan,444
01/02/2023,Dokker,366
01/02/2023,Duster,697
01/02/2023,Jogger,495
01/02/2023,Lodgy,272
01/02/2023,Logan,587
01/03/2023,Dokker,343
01/03/2023,Duster,618
01/03/2023,Jogger,465
01/03/2023,Lodgy,295
01/03/2023,Logan,542
01/04/2023,Dokker,399
01/04/2023,Duster,644
01/04/2023,Jogger,474
01/04/2023,Lodgy,317
01/04/2023,Logan,540
01/05/2023,Dokker,447
01/05/2023,Duster,724
01/05/2023,Jogger,553
01/05/2023,Lodgy,317
01/05/2023,Logan,650
01/06/2023,Dokker,531
01/06/2023,Duster,852
01/06/2023,Jogger,614
01/06/2023,Lodgy,360
01/06/2023,Logan,694
01/07/2023,Dokker,562
01/07/2023,Duster,999
01/07/2023,Jogger,733
01/07/2023,Lodgy,433
01/07/2023,Logan,787
01/08/2023,Dokker,316
01/08/2023,Duster,526
01/08/2023,Jogger,450
01/08/2023,Lodgy,267
01/08/2023,Logan,489
01/09/2023,Dokker,384
01/09/2023,Duster,690
01/09/2023,Jogger,529
01/09/2023,Lodgy,297
01/09/2023,Logan,532
01/10/2023,Dokker,398
01/10/2023,Duster,619
01/10/2023,Jogger,496
01/10/2023,Lodgy,281
01/10/2023,Logan,539
01/11/2023,Dokker,323
01/11/2023,Duster,495
01/11/2023,Jogger,395
01/11/2023,Lodgy,217
01/11/2023,Logan,410
01/12/2023,Dokker,330
01/12/2023,Duster,600
01/12/2023,Jogger,454
01/12/2023,Lodgy,250
01/12/2023,Logan,461
01/13/2023,Dokker,440
01/13/2023,Duster,667
01/13/2023,Jogger,510
01/13/2023,Lodgy,323
01/13/2023,Logan,616
01/14/2023,Dokker,444
01/14/2023,Duster,785
01/14/2023,Jogger,591
01/14/2023,Lodgy,345
01/14/2023,Logan,657
01/15/2023,Dokker,235
01/15/2023,Duster,469
01/15/2023,Jogger,313
01/15/2023,Lodgy,193
01/15/2023,Logan,325
01/16/2023,Dokker,291
01/16/2023,Duster,485
01/16/2023,Jogger,412
01/16/2023,Lodgy,235
01/16/2023,Logan,441
01/17/2023,Dokker,311
01/17/2023,Duster,542
01/17/2023,Jogger,375
01/17/2023,Lodgy,202
01/17/2023,Logan,359
01/18/2023,Dokker,335
01/18/2023,Duster,536
01/18/2023,Jogger,401
01/18/2023,Lodgy,243
01/18/2023,Logan,435
01/19/2023,Dokker,354
01/19/2023,Duster,540
01/19/2023,Jogger,424
01/19/2023,Lodgy,266
01/19/2023,Logan,438
01/20/2023,Dokker,421
01/20/2023,Duster,714
01/20/2023,Jogger,493
01/20/2023,Lodgy,329
01/20/2023,Logan,566
01/21/2023,Dokker,418
01/21/2023,Duster,818
01/21/2023,Jogger,558
01/21/2023,Lodgy,326
01/21/2023,Logan,638
01/22/2023,Dokker,243
01/22/2023,Duster,481
01/22/2023,Jogger,322
01/22/2023,Lodgy,205
01/22/2023,Logan,332
01/23/2023,Dokker,293
01/23/2023,Duster,506
01/23/2023,Jogger,367
01/23/2023,Lodgy,231
01/23/2023,Logan,447
01/24/2023,Dokker,299
01/24/2023,Duster,532
01/24/2023,Jogger,356
01/24/2023,Lodgy,233
01/24/2023,Logan,387
01/25/2023,Dokker,304
01/25/2023,Duster,492
01/25/2023,Jogger,407
01/25/2023,Lodgy,248
01/25/2023,Logan,417
01/26/2023,Dokker,367
01/26/2023,Duster,641
01/26/2023,Jogger,397
01/26/2023,Lodgy,273
01/26/2023,Logan,442
01/27/2023,Dokker,435
01/27/2023,Duster,781
01/27/2023,Jogger,478
01/27/2023,Lodgy,332
01/27/2023,Logan,594
01/28/2023,Dokker,396
01/28/2023,Duster,852
01/28/2023,Jogger,563
01/28/2023,Lodgy,338
01/28/2023,Logan,551
01/29/2023,Dokker,231
01/29/2023,Duster,454
01/29/2023,Jogger,318
01/29/2023,Lodgy,171
01/29/2023,Logan,338
01/30/2023,Dokker,320
01/30/2023,Duster,558
01/30/2023,Jogger,403
01/30/2023,Lodgy,215
01/30/2023,Logan,439
01/31/2023,Dokker,296
01/31/2023,Duster,545
01/31/2023,Jogger,389
01/31/2023,Lodgy,229
01/31/2023,Logan,405
02/01/2023,Dokker,328
02/01/2023,Duster,501
02/01/2023,Jogger,414
02/01/2023,Lodgy,248
02/01/2023,Logan,456
02/02/2023,Dokker,363
02/02/2023,Duster,640
02/02/2023,Jogger,460
02/02/2023,Lodgy,268
02/02/2023,Logan,511
02/03/2023,Dokker,386
02/03/2023,Duster,720
02/03/2023,Jogger,508
02/03/2023,Lodgy,301
02/03/2023,Logan,571
02/04/2023,Dokker,441
02/04/2023,Duster,811
02/04/2023,Jogger,529
02/04/2023,Lodgy,307
02/04/2023,Logan,554
02/05/2023,Dokker,254
02/05/2023,Duster,444
02/05/2023,Jogger,338
02/05/2023,Lodgy,197
02/05/2023,Logan,377
02/06/2023,Dokker,287
02/06/2023,Duster,576
02/06/2023,Jogger,413
02/06/2023,Lodgy,240
02/06/2023,Logan,427
02/07/2023,Dokker,303
02/07/2023,Duster,467
02/07/2023,Jogger,343
02/07/2023,Lodgy,206
02/07/2023,Logan,377
02/08/2023,Dokker,281
02/08/2023,Duster,567
02/08/2023,Jogger,361
02/08/2023,Lodgy,219
02/08/2023,Logan,395
02/09/2023,Dokker,313
02/09/2023,Duster,619
02/09/2023,Jogger,402
02/09/2023,Lodgy,251
02/09/2023,Logan,495
02/10/2023,Dokker,392
02/10/2023,Duster,791
02/10/2023,Jogger,549
02/10/2023,Lodgy,278
02/10/2023,Logan,513
02/11/2023,Dokker,480
02/11/2023,Duster,787
02/11/2023,Jogger,619
02/11/2023,Lodgy,336
02/11/2023,Logan,645
02/12/2023,Dokker,245
02/12/2023,Duster,467
02/12/2023,Jogger,301
02/12/2023,Lodgy,171
02/12/2023,Logan,320
02/13/2023,Dokker,324
02/13/2023,Duster,543
02/13/2023,Jogger,426
02/13/2023,Lodgy,213
02/13/2023,Logan,438
02/14/2023,Dokker,264
02/14/2023,Duster,565
02/14/2023,Jogger,388
02/14/2023,Lodgy,197
02/14/2023,Logan,428
02/15/2023,Dokker,311
02/15/2023,Duster,518
02/15/2023,Jogger,411
02/15/2023,Lodgy,233
02/15/2023,Logan,442
02/16/2023,Dokker,316
02/16/2023,Duster,635
02/16/2023,Jogger,469
02/16/2023,Lodgy,227
02/16/2023,Logan,505
02/17/2023,Dokker,379
02/17/2023,Duster,674
02/17/2023,Jogger,493
02/17/2023,Lodgy,278
02/17/2023,Logan,510
02/18/2023,Dokker,440
02/18/2023,Duster,782
02/18/2023,Jogger,583
02/18/2023,Lodgy,294
02/18/2023,Logan,659
02/19/2023,Dokker,233
02/19/2023,Duster,432
02/19/2023,Jogger,297
02/19/2023,Lodgy,181
02/19/2023,Logan,353
02/20/2023,Dokker,332
02/20/2023,Duster,547
02/20/2023,Jogger,409
02/20/2023,Lodgy,216
02/20/2023,Logan,388
02/21/2023,Dokker,274
02/21/2023,Duster,539
02/21/2023,Jogger,351
02/21/2023,Lodgy,228
02/21/2023,Logan,427
02/22/2023,Dokker,331
02/22/2023,Duster,527
02/22/2023,Jogger,400
02/22/2023,Lodgy,213
02/22/2023,Logan,460
02/23/2023,Dokker,343
02/23/2023,Duster,563
02/23/2023,Jogger,460
02/23/2023,Lodgy,256
02/23/2023,Logan,443
02/24/2023,Dokker,376
02/24/2023,Duster,732
02/24/2023,Jogger,484
02/24/2023,Lodgy,323
02/24/2023,Logan,606
02/25/2023,Dokker,464
02/25/2023,Duster,716
02/25/2023,Jogger,605
02/25/2023,Lodgy,340
02/25/2023,Logan,662
02/26/2023,Dokker,234
02/26/2023,Duster,497
02/26/2023,Jogger,306
02/26/2023,Lodgy,186
02/26/2023,Logan,344
02/27/2023,Dokker,320
02/27/2023,Duster,561
